orga,category,location,motto,,full tweet,length
All India Institute of Medical Sciences,university,India,Body alone is the instrument of doing all duties/deeds.,"(All India Institute of Medical Sciences, India)","Body alone is the instrument of doing all duties/deeds.
(All India Institute of Medical Sciences, India)",104
55th Wing ,military,US,We See All.,"(55th Wing, US)","We See All.
(55th Wing, US)",27
Allan Wilson High School,university,Zimbabwe,We are men of men.,"(Allan Wilson High School, Zimbabwe)","We are men of men.
(Allan Wilson High School, Zimbabwe)",55
American Board of Ophthalmology,university,,"From darkness, light.",(American Board of Ophthalmology),"From darkness, light.
(American Board of Ophthalmology)",55
American University,university,US,For God and Country.,"(American University, US)","For God and Country.
(American University, US)",46
Cartellverband der katholischen deutschen Studentenverbindungen,religion,,"In need unity, in doubt liberty, in everything charity.",(Cartellverband der katholischen deutschen Studentenverbindungen),"In need unity, in doubt liberty, in everything charity.
(Cartellverband der katholischen deutschen Studentenverbindungen)",121
American University of Beirut,university,Lebanon,That they may have life and have it more abundantly.,"(American University of Beirut, Lebanon)","That they may have life and have it more abundantly.
(American University of Beirut, Lebanon)",93
Amherst College,university,US,Let them give light to the world.,"(Amherst College, US)","Let them give light to the world.
(Amherst College, US)",55
Amrita Vishwa Vidyapeetham,university,India,"Reverent attains wisdom, (from Rigveda).","(Amrita Vishwa Vidyapeetham, India)","Reverent attains wisdom, (from Rigveda).
(Amrita Vishwa Vidyapeetham, India)",76
Amsterdam Zoo,university,,Nature is the teacher of art.,(Amsterdam Zoo),"Nature is the teacher of art.
(Amsterdam Zoo)",45
Anderson University (South Carolina),university,US,To nourish humanity through the cross.,"(Anderson University (South Carolina), US)","To nourish humanity through the cross.
(Anderson University (South Carolina), US)",81
Andhra University,university,India,May our knowledge become brilliant.,"(Andhra University, India)","May our knowledge become brilliant.
(Andhra University, India)",62
Saint John,cities,Canada,"O fortunate ones whose walls are now rising / O happy they, whose promised walls already rise.","(Saint John, Canada)","O fortunate ones whose walls are now rising / O happy they, whose promised walls already rise.
(Saint John, Canada)",115
50th Armor ,military,US,On the Way.,"(50th Armor, US)","On the Way.
(50th Armor, US)",28
Andrews University,university,US,"Body, Mind, Spirit.","(Andrews University, US)","Body, Mind, Spirit.
(Andrews University, US)",44
Angelo State University,university,US,Let there be light.,"(Angelo State University, US)","Let there be light.
(Angelo State University, US)",49
Anglia Ruskin University,university,UK,Excellence through partnership.,"(Anglia Ruskin University, UK)","Excellence through partnership.
(Anglia Ruskin University, UK)",62
Anna University,university,India,Progress through knowledge.,"(Anna University, India)","Progress through knowledge.
(Anna University, India)",52
Albus Dumbledore,misc,,"Happiness can be found in the darkest of times, if one can only remember to turn on the light.",(Albus Dumbledore),"Happiness can be found in the darkest of times, if one can only remember to turn on the light.
(Albus Dumbledore)",113
Aquinas Institute,university,US,I believe whatever the Son of God has said.,"(Aquinas Institute, US)","I believe whatever the Son of God has said.
(Aquinas Institute, US)",67
Ardingly College,university,UK,Blessed are the pure in heart.,"(Ardingly College, UK)","Blessed are the pure in heart.
(Ardingly College, UK)",53
Arellano University,university,Philippines,For God and Country.,"(Arellano University, Philippines)","For God and Country.
(Arellano University, Philippines)",55
110th Aviation Brigade ,military,US,Will Do.,"(110th Aviation Brigade, US)","Will Do.
(110th Aviation Brigade, US)",37
"Army Burn Hall College For Boys,Abbottabad",university,Pakistan,To What Height Can I Not Rise.,"(Army Burn Hall College For Boys,Abbottabad, Pakistan)","To What Height Can I Not Rise.
(Army Burn Hall College For Boys,Abbottabad, Pakistan)",85
Arts et Métiers ParisTech,university,France,"Fraternité, c'est là notre devise.","(Arts et Métiers ParisTech, France)","Fraternité, c'est là notre devise.
(Arts et Métiers ParisTech, France)",70
Arundel School,university,Zimbabwe,Grace and learning.,"(Arundel School, Zimbabwe)","Grace and learning.
(Arundel School, Zimbabwe)",46
Christchurch,cities,New Zealand,"Founded in Faith, Rich in the Fulfillment thereof, Strong in Hope for the Future.","(Christchurch, New Zealand)","Founded in Faith, Rich in the Fulfillment thereof, Strong in Hope for the Future.
(Christchurch, New Zealand)",109
305th Air Mobility Wing ,military,US,Can Do.,"(305th Air Mobility Wing, US)","Can Do.
(305th Air Mobility Wing, US)",37
Asia University,university,Taiwan,"Health, Care, Innovation, Excellence.","(Asia University, Taiwan)","Health, Care, Innovation, Excellence.
(Asia University, Taiwan)",63
Association of Anaesthetists of Great Britain and Ireland,university,,In sleep there is safety.,(Association of Anaesthetists of Great Britain and Ireland),"In sleep there is safety.
(Association of Anaesthetists of Great Britain and Ireland)",85
Association of Surgeons of Great Britain and Ireland,university,,Let us learn all things from everybody.,(Association of Surgeons of Great Britain and Ireland),"Let us learn all things from everybody.
(Association of Surgeons of Great Britain and Ireland)",94
Association of Trust Schools,university,,In order to achieve what has been undertaken.,(Association of Trust Schools),"In order to achieve what has been undertaken.
(Association of Trust Schools)",76
Aston University,university,UK,Forward.,"(Aston University, UK)","Forward.
(Aston University, UK)",31
Ateneo de Davao University,university,Philippines,Strong in Faith.,"(Ateneo de Davao University, Philippines)","Strong in Faith.
(Ateneo de Davao University, Philippines)",58
13th Armored Division ,military,US,It Shall Be Done.,"(13th Armored Division, US)","It Shall Be Done.
(13th Armored Division, US)",45
Ateneo de Manila University,university,Philippines,Light in the Lord.,"(Ateneo de Manila University, Philippines)","Light in the Lord.
(Ateneo de Manila University, Philippines)",61
78th Flying Training Wing ,military,US,Above the Foe.,"(78th Flying Training Wing, US)","Above the Foe.
(78th Flying Training Wing, US)",46
Ateneo de Naga University,university,Philippines,"First, The Kingdom of God.","(Ateneo de Naga University, Philippines)","First, The Kingdom of God.
(Ateneo de Naga University, Philippines)",67
82d Flying Training Wing ,military,US,Up and at 'em!.,"(82d Flying Training Wing, US)","Up and at 'em!.
(82d Flying Training Wing, US)",46
United States Navy ,military,US,Not self but country.,"(United States Navy, US)","Not self but country.
(United States Navy, US)",46
Ateneo de Zamboanga University,university,Philippines,For God and Country.,"(Ateneo de Zamboanga University, Philippines)","For God and Country.
(Ateneo de Zamboanga University, Philippines)",66
Athabasca University,university,Canada,Learning for life.,"(Athabasca University, Canada)","Learning for life.
(Athabasca University, Canada)",49
Auburn University,university,US,For The Advancement of Science and Arts.,"(Auburn University, US)","For The Advancement of Science and Arts.
(Auburn University, US)",64
"Auckland Grammar School, Mount Albert Grammar School ",university,New Zealand,Through endeavour to greatness.,"(Auckland Grammar School, Mount Albert Grammar School, New Zealand)","Through endeavour to greatness.
(Auckland Grammar School, Mount Albert Grammar School, New Zealand)",99
1st Tactical Fighter Wing ,military,US,Conquer or Die.,"(1st Tactical Fighter Wing, US)","Conquer or Die.
(1st Tactical Fighter Wing, US)",47
Australian and New Zealand College of Anaesthetists,university,,To care for the body and its breath of life.,(Australian and New Zealand College of Anaesthetists),"To care for the body and its breath of life.
(Australian and New Zealand College of Anaesthetists)",98
Australian College of Pharmacy,university,,Education for Practice and Management.,(Australian College of Pharmacy),"Education for Practice and Management.
(Australian College of Pharmacy)",71
Australian National University,university,Australia,"First, let him busy himself to learn the nature of things. From Lucretius, De Rerum Natura, l. VI.","(Australian National University, Australia)","First, let him busy himself to learn the nature of things. From Lucretius, De Rerum Natura, l. VI.
(Australian National University, Australia)",142
Autonomous University of Baja California,university,Mexico,For man's fulfillment.,"(Autonomous University of Baja California, Mexico)","For man's fulfillment.
(Autonomous University of Baja California, Mexico)",73
Autonomous University of Bucaramanga - UNAB,university,Colombia,Leadership for the future.,"(Autonomous University of Bucaramanga - UNAB, Colombia)","Leadership for the future.
(Autonomous University of Bucaramanga - UNAB, Colombia)",82
Autonomous University of Campeche,university,Mexico,From Mystery Without a Dawn to Triangles of Light.,"(Autonomous University of Campeche, Mexico)","From Mystery Without a Dawn to Triangles of Light.
(Autonomous University of Campeche, Mexico)",94
Autonomous University of Chihuahua,university,Mexico,"Fight to Achieve, Achieve to Give.","(Autonomous University of Chihuahua, Mexico)","Fight to Achieve, Achieve to Give.
(Autonomous University of Chihuahua, Mexico)",79
Autonomous University of Nuevo Leon,university,Mexico,To feed the flame of truth.,"(Autonomous University of Nuevo Leon, Mexico)","To feed the flame of truth.
(Autonomous University of Nuevo Leon, Mexico)",73
Avondale College,university,New Zealand,Seek the Heartwood.,"(Avondale College, New Zealand)","Seek the Heartwood.
(Avondale College, New Zealand)",51
319th Air Base Wing ,military,US,Defenders of Freedom.,"(319th Air Base Wing, US)","Defenders of Freedom.
(319th Air Base Wing, US)",47
Azusa Pacific University,university,US,God First.,"(Azusa Pacific University, US)","God First.
(Azusa Pacific University, US)",41
Falkirk,cities,Scotland,"Strike one, strike all - easier fight with the devil than the children of Falkirk.","(Falkirk, Scotland)","Strike one, strike all - easier fight with the devil than the children of Falkirk.
(Falkirk, Scotland)",102
11th Aviation Group ,military,US,We Make the Difference.,"(11th Aviation Group, US)","We Make the Difference.
(11th Aviation Group, US)",49
3rd Marine Division ,military,US,"Fidelity, Honor, Valor.","(3rd Marine Division, US)","Fidelity, Honor, Valor.
(3rd Marine Division, US)",49
Babeș-Bolyai University,university,Romania,Our tradition glows together with the virtues of Europe.,"(Babeș-Bolyai University, Romania)","Our tradition glows together with the virtues of Europe.
(Babeș-Bolyai University, Romania)",91
"Bablake School, Coventry",university,UK,The spirit of opportunity.,"(Bablake School, Coventry, UK)","The spirit of opportunity.
(Bablake School, Coventry, UK)",57
Baliuag University,university,Philippines,"Country, Science and Virtue.","(Baliuag University, Philippines)","Country, Science and Virtue.
(Baliuag University, Philippines)",62
Banaras Hindu University,university,India,Be immortal through knowledge.,"(Banaras Hindu University, India)","Be immortal through knowledge.
(Banaras Hindu University, India)",64
Banasthali Vidyapith,university,India,That is knowledge which liberates.,"(Banasthali Vidyapith, India)","That is knowledge which liberates.
(Banasthali Vidyapith, India)",64
Bangor University,university,UK,The best gift is knowledge.,"(Bangor University, UK)","The best gift is knowledge.
(Bangor University, UK)",51
Banting Memorial High School,university,Canada,Whatsoever things are best.,"(Banting Memorial High School, Canada)","Whatsoever things are best.
(Banting Memorial High School, Canada)",66
Barton College,university,US,They shall have the light of life.,"(Barton College, US)","They shall have the light of life.
(Barton College, US)",55
35th Tactical Fighter Wing ,military,US,Attack to Defend.,"(35th Tactical Fighter Wing, US)","Attack to Defend.
(35th Tactical Fighter Wing, US)",50
"1st Battalion, 4th Marines ",military,US,Whatever It Takes.,"(1st Battalion, 4th Marines, US)","Whatever It Takes.
(1st Battalion, 4th Marines, US)",51
Bates College,university,US,Love of learning.,"(Bates College, US)","Love of learning.
(Bates College, US)",37
Baylor University,university,US,"For Church, For Texas.","(Baylor University, US)","For Church, For Texas.
(Baylor University, US)",46
Bedford School,university,UK,May Bedford School flourish.,"(Bedford School, UK)","May Bedford School flourish.
(Bedford School, UK)",49
31st Tactical Fighter Wing ,military,US,Return With Honor.,"(31st Tactical Fighter Wing, US)","Return With Honor.
(31st Tactical Fighter Wing, US)",51
Beijing University of Posts and Telecommunications,university,China,"Great Virtue, Profound Knowledge, Total Commitment, Harmonious Cooperation.","(Beijing University of Posts and Telecommunications, China)","Great Virtue, Profound Knowledge, Total Commitment, Harmonious Cooperation.
(Beijing University of Posts and Telecommunications, China)",135
Bordeaux,cities,Europe,"The fleur-de-lis alone rules over the moon, the waves, the castle, and the lion.","(Bordeaux, Europe)","The fleur-de-lis alone rules over the moon, the waves, the castle, and the lion.
(Bordeaux, Europe)",99
Beijing University of Technology,university,China,"Taking persistence in pursuit as the substance, taking innovation everyday as the way.","(Beijing University of Technology, China)","Taking persistence in pursuit as the substance, taking innovation everyday as the way.
(Beijing University of Technology, China)",128
70th Bombardment Wing ,military,US,Strength Through Unity.,"(70th Bombardment Wing, US)","Strength Through Unity.
(70th Bombardment Wing, US)",51
Belmont Abbey College,university,US,That in all things God may be glorified.,"(Belmont Abbey College, US)","That in all things God may be glorified.
(Belmont Abbey College, US)",68
Benedict College,university,US,Truth and Virtue.,"(Benedict College, US)","Truth and Virtue.
(Benedict College, US)",40
"Bengal Engineering and Science University, Shibpur",university,India,"Arise, awake, obtaining worthy (teachers), know (the truth).","(Bengal Engineering and Science University, Shibpur, India)","Arise, awake, obtaining worthy (teachers), know (the truth).
(Bengal Engineering and Science University, Shibpur, India)",120
Berklee College of Music,university,US,"To be, rather than to seem.","(Berklee College of Music, US)","To be, rather than to seem.
(Berklee College of Music, US)",58
Bernard Mizeki College,university,Zimbabwe,I have liberated my mind.,"(Bernard Mizeki College, Zimbabwe)","I have liberated my mind.
(Bernard Mizeki College, Zimbabwe)",60
Beverley Grammar School,university,UK,The food of youth; the delight of old age.,"(Beverley Grammar School, UK)","The food of youth; the delight of old age.
(Beverley Grammar School, UK)",72
Bilkent University,university,Turkey,Truth.,"(Bilkent University, Turkey)","Truth.
(Bilkent University, Turkey)",35
Bindura University of Science Education,university,Zimbabwe,"Commitment, discipline, excellence.","(Bindura University of Science Education, Zimbabwe)","Commitment, discipline, excellence.
(Bindura University of Science Education, Zimbabwe)",87
"Birkbeck, University of London",university,UK,In night is counsel.,"(Birkbeck, University of London, UK)","In night is counsel.
(Birkbeck, University of London, UK)",57
"Birla Institute of Technology, Mesra, Ranchi",university,India,That is knowledge which liberates.,"(Birla Institute of Technology, Mesra, Ranchi, India)","That is knowledge which liberates.
(Birla Institute of Technology, Mesra, Ranchi, India)",88
Birmingham City University,university,UK,Do what you are doing; attend to your business.,"(Birmingham City University, UK)","Do what you are doing; attend to your business.
(Birmingham City University, UK)",80
Bishop Cotton Boys School,university,India,Neither to the right nor to the left - Book of Joshua.,"(Bishop Cotton Boys School, India)","Neither to the right nor to the left - Book of Joshua.
(Bishop Cotton Boys School, India)",89
Bishop Cotton Girls School,university,India,Neither to the right nor to the left - Book of Joshua.,"(Bishop Cotton Girls School, India)","Neither to the right nor to the left - Book of Joshua.
(Bishop Cotton Girls School, India)",90
Bishop of Hereford's Bluecoat School,university,UK,Always faithful to Christ.,"(Bishop of Hereford's Bluecoat School, UK)","Always faithful to Christ.
(Bishop of Hereford's Bluecoat School, UK)",69
"Bishop Wordsworth's School, Salisbury",university,UK,Truth in charity.,"(Bishop Wordsworth's School, Salisbury, UK)","Truth in charity.
(Bishop Wordsworth's School, Salisbury, UK)",61
Bishop's University,university,Canada,Sound learning strengthens the spirit.,"(Bishop's University, Canada)","Sound learning strengthens the spirit.
(Bishop's University, Canada)",68
8th Tactical Fighter Wing ,military,US,Attack and Conquer.,"(8th Tactical Fighter Wing, US)","Attack and Conquer.
(8th Tactical Fighter Wing, US)",51
Naval Construction Forces ,military,US,"We build, we fight.","(Naval Construction Forces, US)","We build, we fight.
(Naval Construction Forces, US)",51
Bloxham School,university,UK,The path of the just is a shining light.,"(Bloxham School, UK)","The path of the just is a shining light.
(Bloxham School, UK)",61
Commonwealth of Massachusetts,cities,U.S.,"By the sword we seek peace, but peace only under liberty.","(Commonwealth of Massachusetts, U.S.)","By the sword we seek peace, but peace only under liberty.
(Commonwealth of Massachusetts, U.S.)",95
"Blue Coat School, Oldham",university,UK,Always let us seek virtue.,"(Blue Coat School, Oldham, UK)","Always let us seek virtue.
(Blue Coat School, Oldham, UK)",57
Bob Jones University,university,US,"We seek, we trust.","(Bob Jones University, US)","We seek, we trust.
(Bob Jones University, US)",45
Bond University,university,Australia,Bringing Ambition To Life.,"(Bond University, Australia)","Bringing Ambition To Life.
(Bond University, Australia)",55
Boston College,university,US,Ever to Excel.,"(Boston College, US)","Ever to Excel.
(Boston College, US)",35
21st Composite Wing ,military,US,Strength and Preparedness.,"(21st Composite Wing, US)","Strength and Preparedness.
(21st Composite Wing, US)",52
Boston University,university,US,"Learning, Virtue, Piety.","(Boston University, US)","Learning, Virtue, Piety.
(Boston University, US)",48
Bourne Grammar School,university,UK,Watch and pray.,"(Bourne Grammar School, UK)","Watch and pray.
(Bourne Grammar School, UK)",43
38th Flying Training Wing ,military,US,Valor With Progress.,"(38th Flying Training Wing, US)","Valor With Progress.
(38th Flying Training Wing, US)",52
Bournemouth University,university,UK,To Learn is to Change.,"(Bournemouth University, UK)","To Learn is to Change.
(Bournemouth University, UK)",51
Roxburgh,nation / UK counties,Scotland,Yield not to misfortunes evil things but go on more boldly against them.,"(Roxburgh, Scotland)","Yield not to misfortunes evil things but go on more boldly against them.
(Roxburgh, Scotland)",93
National FFA Organization,public police/service,,"Learning to Do, Doing to Learn, Earning to Live, Living to Serve.",(National FFA Organization),"Learning to Do, Doing to Learn, Earning to Live, Living to Serve.
(National FFA Organization)",93
New South Wales Police Force,public police/service,,Culpam Poena Premit Comes Punishment Follows Closely On Guilt.,(New South Wales Police Force),"Culpam Poena Premit Comes Punishment Follows Closely On Guilt.
(New South Wales Police Force)",93
Bowdoin College,university,US,As an eagle towards the sky.,"(Bowdoin College, US)","As an eagle towards the sky.
(Bowdoin College, US)",50
Bradford Grammar School,university,UK,Do this.,"(Bradford Grammar School, UK)","Do this.
(Bradford Grammar School, UK)",38
82d Airborne Division Artillery ,military,US,Mass the Fire.,"(82d Airborne Division Artillery, US)","Mass the Fire.
(82d Airborne Division Artillery, US)",52
Brandeis University,university,US,"Truth, even unto its innermost parts.","(Brandeis University, US)","Truth, even unto its innermost parts.
(Brandeis University, US)",63
Brandon University,university,Canada,Speaking the truth in love.,"(Brandon University, Canada)","Speaking the truth in love.
(Brandon University, Canada)",56
Brickfield Asia College,university,Malaysia,"Fastest, Smartest.","(Brickfield Asia College, Malaysia)","Fastest, Smartest.
(Brickfield Asia College, Malaysia)",54
Strategic Air Command ,military,US,Peace is Our Profession.,"(Strategic Air Command, US)","Peace is Our Profession.
(Strategic Air Command, US)",52
Brigham Young University,university,US,Enter to learn; go forth to serve'.,"(Brigham Young University, US)","Enter to learn; go forth to serve'.
(Brigham Young University, US)",66
Brock University,university,Canada,Push on!,"(Brock University, Canada)","Push on!
(Brock University, Canada)",35
36th Tactical Fighter Wing ,military,US,Prepared to Prevail.,"(36th Tactical Fighter Wing, US)","Prepared to Prevail.
(36th Tactical Fighter Wing, US)",53
9th Strategic Reconnaissance Wing ,military,US,Always Ready.,"(9th Strategic Reconnaissance Wing, US)","Always Ready.
(9th Strategic Reconnaissance Wing, US)",53
100th Air Refueling Wing ,military,US,Peace Through Strength.,"(100th Air Refueling Wing, US)","Peace Through Strength.
(100th Air Refueling Wing, US)",54
"Oporto, Portugal",cities,Europe,"Antique, highly noble, always faithful, unvanquished Oporto City.","(Oporto, Portugal, Europe)","Antique, highly noble, always faithful, unvanquished Oporto City.
(Oporto, Portugal, Europe)",92
Bromsgrove School,university,UK,"For God, for King, for Neighbour.","(Bromsgrove School, UK)","For God, for King, for Neighbour.
(Bromsgrove School, UK)",57
Brown University,university,US,In God we hope.,"(Brown University, US)","In God we hope.
(Brown University, US)",38
Buckinghamshire New University,university,UK,By Art and Industry.,"(Buckinghamshire New University, UK)","By Art and Industry.
(Buckinghamshire New University, UK)",57
Port Glasgow,cities,Scotland,Three and four times a year revisiting the Atlantic with impunity.,"(Port Glasgow, Scotland)","Three and four times a year revisiting the Atlantic with impunity.
(Port Glasgow, Scotland)",91
Florentine Republic,nation,,"Fall, you kingdoms of luxury, for the cities of virtue shall thrive!.",(Florentine Republic),"Fall, you kingdoms of luxury, for the cities of virtue shall thrive!.
(Florentine Republic)",91
Buenos Aires Institute of Technology,university,Argentina,To the light peacefully I go.,"(Buenos Aires Institute of Technology, Argentina)","To the light peacefully I go.
(Buenos Aires Institute of Technology, Argentina)",79
Bury Grammar School,university,UK,The key opens the sacred door.,"(Bury Grammar School, UK)","The key opens the sacred door.
(Bury Grammar School, UK)",56
Cadet College Hasan Abdal,university,Pakistan,Second To None.,"(Cadet College Hasan Abdal, Pakistan)","Second To None.
(Cadet College Hasan Abdal, Pakistan)",53
Caldwell College,university,US,Wisdom and Knowledge.,"(Caldwell College, US)","Wisdom and Knowledge.
(Caldwell College, US)",44
California Maritime Academy,university,US,"To work or fight, we are ready.","(California Maritime Academy, US)","To work or fight, we are ready.
(California Maritime Academy, US)",65
"California State University, Chico",university,US,Today decides tomorrow.,"(California State University, Chico, US)","Today decides tomorrow.
(California State University, Chico, US)",64
"California State University, Fresno",university,US,Receive the light that you may give it forth.,"(California State University, Fresno, US)","Receive the light that you may give it forth.
(California State University, Fresno, US)",87
33rd Tactical Fighter Wing ,military,US,Fire From the Clouds.,"(33rd Tactical Fighter Wing, US)","Fire From the Clouds.
(33rd Tactical Fighter Wing, US)",54
Calvin College,university,US,"My heart I offer to you, Lord, promptly and sincerely.","(Calvin College, US)","My heart I offer to you, Lord, promptly and sincerely.
(Calvin College, US)",75
Campbell University,university,US,To the stars through difficulties.,"(Campbell University, US)","To the stars through difficulties.
(Campbell University, US)",60
Canadian Association of General Surgeons,university,,Wisdom and a skillful hand.,(Canadian Association of General Surgeons),"Wisdom and a skillful hand.
(Canadian Association of General Surgeons)",70
Canadian Orthopaedic Association,university,,"With compassion, skill and knowledge we correct, straighten or set right.",(Canadian Orthopaedic Association),"With compassion, skill and knowledge we correct, straighten or set right.
(Canadian Orthopaedic Association)",108
Canisius College,university,US,Where leaders are made.,"(Canisius College, US)","Where leaders are made.
(Canisius College, US)",46
Canterbury Christ Church University,university,UK,The truth shall make you free.,"(Canterbury Christ Church University, UK)","The truth shall make you free.
(Canterbury Christ Church University, UK)",72
Cape Breton University,university,Canada,Perseverance will Triumph.,"(Cape Breton University, Canada)","Perseverance will Triumph.
(Cape Breton University, Canada)",59
Cardiff Metropolitan University,university,UK,The most valuable possession is knowledge.,"(Cardiff Metropolitan University, UK)","The most valuable possession is knowledge.
(Cardiff Metropolitan University, UK)",80
Cardiff University,university,UK,"Truth, Unity and Harmony.","(Cardiff University, UK)","Truth, Unity and Harmony.
(Cardiff University, UK)",50
Cardiff University School of Medicine,university,UK,Knowledge enables cures.,"(Cardiff University School of Medicine, UK)","Knowledge enables cures.
(Cardiff University School of Medicine, UK)",68
Cardinal Stritch University,university,US,To value the better things.,"(Cardinal Stritch University, US)","To value the better things.
(Cardinal Stritch University, US)",61
Carleton University,university,Canada,Ours the Task Eternal.,"(Carleton University, Canada)","Ours the Task Eternal.
(Carleton University, Canada)",52
Carnegie Mellon University,university,US,My heart is in the work.,"(Carnegie Mellon University, US)","My heart is in the work.
(Carnegie Mellon University, US)",57
Edinburgh,cities,Scotland,"Except the Lord keep the city, the watchman waketh in vain. Psalm.","(Edinburgh, Scotland)","Except the Lord keep the city, the watchman waketh in vain. Psalm.
(Edinburgh, Scotland)",88
Carnegie-Mellon University,university,US,My Heart Is In The Work.,"(Carnegie-Mellon University, US)","My Heart Is In The Work.
(Carnegie-Mellon University, US)",57
Catawba College,university,US,"Scholarship, Character, Culture, Service.","(Catawba College, US)","Scholarship, Character, Culture, Service.
(Catawba College, US)",63
Catholic Junior College,university,Singapore,In truth and love.,"(Catholic Junior College, Singapore)","In truth and love.
(Catholic Junior College, Singapore)",55
Catholic University of Portugal,university,Portugal,Truth.,"(Catholic University of Portugal, Portugal)","Truth.
(Catholic University of Portugal, Portugal)",50
Catholic University of Zimbabwe,university,Zimbabwe,For God and wisdom.,"(Catholic University of Zimbabwe, Zimbabwe)","For God and wisdom.
(Catholic University of Zimbabwe, Zimbabwe)",63
Caulfield Grammar School,university,Australia,Work hard so that ye will rest.,"(Caulfield Grammar School, Australia)","Work hard so that ye will rest.
(Caulfield Grammar School, Australia)",69
Central Board of Secondary Education,university,India,Lead us From Untruth to Truth.,"(Central Board of Secondary Education, India)","Lead us From Untruth to Truth.
(Central Board of Secondary Education, India)",76
Central Philippine University,university,Philippines,Scientia Et Fides.,"(Central Philippine University, Philippines)","Scientia Et Fides.
(Central Philippine University, Philippines)",63
Khuddam-ul Ahmadiyya,religion,,A Nation cannot be reformed without the reformation of its youth.,(Khuddam-ul Ahmadiyya),"A Nation cannot be reformed without the reformation of its youth.
(Khuddam-ul Ahmadiyya)",88
Central Police University,university,Taiwan,Honesty.,"(Central Police University, Taiwan)","Honesty.
(Central Police University, Taiwan)",44
52d Tactical Fighter Wing ,military,US,"Seek, Attack, Destroy.","(52d Tactical Fighter Wing, US)","Seek, Attack, Destroy.
(52d Tactical Fighter Wing, US)",54
Central Queensland University,university,Australia,Forever Learning.,"(Central Queensland University, Australia)","Forever Learning.
(Central Queensland University, Australia)",60
Central Taiwan University of Science and Technology,university,Taiwan,"Loyalty, trust, sincerity, and respect.","(Central Taiwan University of Science and Technology, Taiwan)","Loyalty, trust, sincerity, and respect.
(Central Taiwan University of Science and Technology, Taiwan)",101
Centrale Paris,university,France,"Leader, Entrepreneur, Innovator.","(Centrale Paris, France)","Leader, Entrepreneur, Innovator.
(Centrale Paris, France)",57
557th Artillery Group ,military,US,Nothing Stands in Our Way.,"(557th Artillery Group, US)","Nothing Stands in Our Way.
(557th Artillery Group, US)",54
Centro Escolar University,university,Philippines,Science and Virtue.,"(Centro Escolar University, Philippines)","Science and Virtue.
(Centro Escolar University, Philippines)",60
Chaitanya Bharathi Institute of Technology,university,India,Be self-enlightened.,"(Chaitanya Bharathi Institute of Technology, India)","Be self-enlightened.
(Chaitanya Bharathi Institute of Technology, India)",72
Chang Gung University,university,Taiwan,"Diligence, Perseverance, Frugality and Trustworthiness.","(Chang Gung University, Taiwan)","Diligence, Perseverance, Frugality and Trustworthiness.
(Chang Gung University, Taiwan)",87
Easter Island,nation,,May God let the clarity of this vital light be extended to all peoples.,(Easter Island),"May God let the clarity of this vital light be extended to all peoples.
(Easter Island)",87
